#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
  23000      5.11e+00    5.24e+00      5.91e-02    6.25e-02      1.18e-01    1.17e-01    1.3e-04
  23100      5.21e+00    7.81e+00      6.58e-02    1.11e-01      1.10e-01    1.33e-01    1.3e-04
  23200      4.54e+00    4.61e+00      1.90e-02    3.16e-02      1.39e-01    1.33e-01    1.3e-04
  23300      8.71e+00    5.08e+00      1.41e-01    6.83e-02      7.99e-02    9.73e-02    1.3e-04
  23400      5.11e+00    4.72e+00      6.23e-02    1.83e-02      1.12e-01    1.45e-01    1.3e-04
  23500      5.01e+00    1.15e+01      7.12e-02    1.66e-01      8.60e-02    1.90e-01    1.3e-04
  23600      5.22e+00    7.83e+00      7.17e-02    9.88e-02      9.65e-02    1.65e-01    1.3e-04
  23700      4.08e+00    1.13e+01      5.27e-02    1.71e-01      8.34e-02    1.59e-01    1.3e-04
  23800      5.42e+00    7.95e+00      6.84e-02    1.11e-01      1.14e-01    1.41e-01    1.3e-04
  23900      8.27e+00    3.74e+00      1.05e-01    9.16e-03      1.72e-01    1.17e-01    1.3e-04
  24000      5.69e+00    1.09e+01      8.25e-02    1.72e-01      9.24e-02    1.25e-01    1.3e-04
  24100      4.42e+00    5.19e+00      5.52e-03    6.35e-02      1.39e-01    1.13e-01    1.3e-04
  24200      6.59e+00    9.46e+00      1.03e-01    1.36e-01      7.85e-02    1.58e-01    1.3e-04
  24300      1.81e+01    3.68e+00      2.82e-01    3.39e-02      2.22e-01    9.74e-02    1.3e-04
  24400      4.54e+00    7.19e+00      1.43e-02    1.10e-01      1.41e-01    9.77e-02    1.3e-04
  24500      6.29e+00    9.65e+00      9.61e-02    1.34e-01      8.53e-02    1.74e-01    1.3e-04
  24600      8.56e+00    9.81e+00      1.21e-01    1.49e-01      1.47e-01    1.38e-01    1.3e-04
  24700      6.90e+00    8.84e+00      8.62e-02    1.26e-01      1.47e-01    1.51e-01    1.3e-04
  24800      4.86e+00    9.32e+00      5.75e-02    1.52e-01      1.10e-01    7.78e-02    1.3e-04
  24900      3.99e+00    5.70e+00      2.03e-02    6.39e-02      1.20e-01    1.35e-01    1.3e-04
  25000      6.63e+00    3.07e+00      8.66e-02    8.91e-03      1.27e-01    9.57e-02    7.7e-05
  25100      8.73e+00    4.31e+00      1.18e-01    3.56e-02      1.59e-01    1.18e-01    7.7e-05
  25200      3.92e+00    3.38e+00      3.19e-02    3.31e-02      1.08e-01    8.57e-02    7.7e-05
  25300      4.38e+00    3.51e+00      1.59e-02    4.89e-03      1.35e-01    1.11e-01    7.7e-05
  25400      7.54e+00    4.37e+00      1.17e-01    4.95e-02      7.79e-02    1.00e-01    7.7e-05
  25500      6.36e+00    3.86e+00      7.07e-02    3.50e-02      1.48e-01    1.02e-01    7.7e-05
  25600      4.37e+00    4.40e+00      2.62e-05    3.76e-02      1.38e-01    1.19e-01    7.7e-05
  25700      3.04e+00    3.56e+00      1.63e-02    1.34e-02      9.10e-02    1.09e-01    7.7e-05
  25800      4.72e+00    7.08e+00      3.84e-02    1.09e-01      1.30e-01    7.66e-02    7.7e-05
  25900      6.66e+00    6.13e+00      9.74e-02    8.61e-02      9.61e-02    1.01e-01    7.7e-05
